W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
45,37,.549,—,101.3,100.4,0.35,Boston Celtics
43,39,.524,2.0,99.1,99.9,-1.07,Philadelphia 76ers
42,40,.512,3.0,91.4,92.9,-1.82,New Jersey Nets
33,49,.402,12.0,99.7,101.4,-1.81,Toronto Raptors
33,49,.402,12.0,97.3,99.7,-2.72,New York Knicks
54,28,.659,—,93.3,89.5,3.31,Detroit Pistons
47,35,.573,7.0,94.5,93.4,0.65,Chicago Bulls
44,38,.537,10.0,93.0,92.2,0.49,Indiana Pacers
42,40,.512,12.0,96.5,95.7,0.27,Cleveland Cavaliers
30,52,.366,24.0,97.2,100.2,-3.09,Milwaukee Bucks
59,23,.720,—,101.5,95.0,5.77,Miami Heat
45,37,.549,14.0,100.5,100.8,-0.71,Washington Wizards
36,46,.439,23.0,99.5,101.8,-2.52,Orlando Magic
18,64,.220,41.0,94.3,100.2,-6.15,Charlotte Bobcats
13,69,.159,46.0,92.7,102.5,-9.62,Atlanta Hawks
52,30,.634,—,98.9,96.6,2.59,Seattle SuperSonics
49,33,.598,3.0,99.5,97.5,2.23,Denver Nuggets
44,38,.537,8.0,96.8,95.3,1.73,Minnesota Timberwolves
27,55,.329,25.0,92.9,96.9,-3.45,Portland Trail Blazers
26,56,.317,26.0,93.0,97.3,-3.74,Utah Jazz
62,20,.756,—,110.4,103.3,7.08,Phoenix Suns
50,32,.610,12.0,103.7,101.6,2.56,Sacramento Kings
37,45,.451,25.0,95.7,96.5,-0.47,Los Angeles Clippers
34,48,.415,28.0,98.7,101.7,-2.32,Los Angeles Lakers
34,48,.415,28.0,98.7,100.9,-1.74,Golden State Warriors
59,23,.720,—,96.2,88.4,7.84,San Antonio Spurs
58,24,.707,1.0,102.5,96.8,5.86,Dallas Mavericks
51,31,.622,8.0,95.1,91.0,4.27,Houston Rockets
45,37,.549,14.0,93.4,91.1,2.64,Memphis Grizzlies
18,64,.220,41.0,88.4,95.5,-6.30,New Orleans Hornets
