W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
39,27,.591,—,91.8,89.3,2.26,Boston Celtics
36,30,.545,3.0,97.8,94.7,2.39,New York Knicks
35,31,.530,4.0,93.6,89.4,3.59,Philadelphia 76ers
23,43,.348,16.0,90.7,94.0,-3.67,Toronto Raptors
22,44,.333,17.0,93.1,99.1,-6.37,New Jersey Nets
50,16,.758,—,96.3,88.2,7.43,Chicago Bulls
42,24,.636,8.0,97.7,94.4,2.60,Indiana Pacers
31,35,.470,19.0,99.0,98.7,-0.23,Milwaukee Bucks
25,41,.379,25.0,90.9,95.7,-5.19,Detroit Pistons
21,45,.318,29.0,93.0,100.2,-7.34,Cleveland Cavaliers
46,20,.697,—,98.5,92.5,5.72,Miami Heat
40,26,.606,6.0,96.6,93.2,2.67,Atlanta Hawks
37,29,.561,9.0,94.2,93.4,0.46,Orlando Magic
20,46,.303,26.0,93.6,98.4,-5.14,Washington Wizards
7,59,.106,39.0,87.0,100.9,-13.96,Charlotte Bobcats
47,19,.712,—,103.1,96.9,6.44,Oklahoma City Thunder
38,28,.576,9.0,104.1,101.2,3.16,Denver Nuggets
36,30,.545,11.0,99.7,99.0,0.92,Utah Jazz
28,38,.424,19.0,97.2,97.8,-0.22,Portland Trail Blazers
26,40,.394,21.0,97.9,100.1,-1.83,Minnesota Timberwolves
41,25,.621,—,97.3,95.9,1.96,Los Angeles Lakers
40,26,.606,1.0,97.5,95.0,2.82,Los Angeles Clippers
33,33,.500,8.0,98.4,98.6,0.29,Phoenix Suns
23,43,.348,18.0,97.8,101.2,-2.79,Golden State Warriors
22,44,.333,19.0,98.8,104.4,-4.95,Sacramento Kings
50,16,.758,—,103.7,96.5,7.28,San Antonio Spurs
41,25,.621,9.0,95.0,93.0,2.43,Memphis Grizzlies
36,30,.545,14.0,95.8,94.8,1.78,Dallas Mavericks
34,32,.515,16.0,98.1,97.9,0.57,Houston Rockets
21,45,.318,29.0,89.6,93.4,-3.11,New Orleans Hornets
