Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
David Robinson,29,SAS,73.0,901.0,1050,0.858,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,.273
Shaquille O'Neal,22,ORL,12.0,605.0,1050,0.576,79,37.0,29.3,11.4,2.7,0.9,2.4,.583,.000,.533,14.0,.230
Karl Malone,31,UTA,14.0,532.0,1050,0.507,82,38.1,26.7,10.6,3.5,1.6,1.0,.536,.268,.742,13.8,.212
Patrick Ewing,32,NYK,2.0,230.0,1050,0.219,79,37.0,23.9,11.0,2.7,0.9,2.0,.503,.286,.750,9.6,.157
Hakeem Olajuwon,32,HOU,1.0,147.0,1050,0.140,72,39.6,27.8,10.8,3.5,1.8,3.4,.517,.188,.756,10.7,.181
Charles Barkley,31,PHO,1.0,96.0,1050,0.091,68,35.0,23.0,11.1,4.1,1.6,0.7,.486,.338,.748,10.6,.214
Scottie Pippen,29,CHI,1.0,83.0,1050,0.079,79,38.2,21.4,8.1,5.2,2.9,1.1,.480,.345,.716,11.8,.188
John Stockton,32,UTA,1.0,47.0,1050,0.045,82,35.0,14.7,3.1,12.3,2.4,0.3,.542,.449,.804,13.9,.233
Gary Payton,26,SEA,0.0,34.0,1050,0.032,82,36.8,20.6,3.4,7.1,2.5,0.2,.509,.302,.716,11.7,.187
Anfernee Hardaway,23,ORL,0.0,23.0,1050,0.022,77,37.7,20.9,4.4,7.2,1.7,0.3,.512,.349,.769,10.7,.177
Michael Jordan,31,CHI,0.0,12.0,1050,0.011,17,39.3,26.9,6.9,5.3,1.8,0.8,.411,.500,.801,2.3,.167
Dennis Rodman,33,SAS,0.0,9.0,1050,0.009,49,32.0,7.1,16.8,2.0,0.6,0.5,.571,.000,.676,5.8,.178
Jason Kidd,21,DAL,0.0,7.0,1050,0.007,79,33.8,11.7,5.4,7.7,1.9,0.3,.385,.272,.698,3.7,.066
Clyde Drexler,32,TOT,0.0,3.0,1050,0.003,76,35.9,21.8,6.3,4.8,1.8,0.6,.461,.360,.824,11.7,.206
Cedric Ceballos,25,LAL,0.0,1.0,1050,0.001,58,35.0,21.7,8.0,1.8,1.0,0.3,.509,.397,.716,5.2,.123
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Grant Hill,22,DET,43.0,43.0,105,0.410,70,38.3,19.9,6.4,5.0,1.8,0.9,.477,.148,.732,5.4,.097
Jason Kidd,21,DAL,43.0,43.0,105,0.410,79,33.8,11.7,5.4,7.7,1.9,0.3,.385,.272,.698,3.7,.066
Glenn Robinson,22,MIL,15.0,15.0,105,0.143,80,37.0,21.9,6.4,2.5,1.4,0.3,.451,.321,.796,3.2,.053
Eddie Jones,23,LAL,2.0,2.0,105,0.019,64,31.0,14.0,3.9,2.0,2.0,0.6,.460,.370,.722,5.0,.122
Brian Grant,22,SAC,1.0,1.0,105,0.010,80,28.6,13.2,7.5,1.2,0.6,1.5,.511,.250,.636,5.3,.112
Juwan Howard,21,WSB,1.0,1.0,105,0.010,65,36.1,17.0,8.4,2.5,0.8,0.2,.489,.000,.664,2.8,.057
