Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Giannis Antetokounmpo,24,MIL,78.0,941.0,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,.578,.256,.729,14.4,.292
James Harden,29,HOU,23.0,776.0,1010,0.768,78,36.8,36.1,6.6,7.5,2.0,0.7,.442,.368,.879,15.2,.254
Paul George,28,OKC,0.0,356.0,1010,0.352,77,36.9,28.0,8.2,4.1,2.2,0.4,.438,.386,.839,11.9,.201
Nikola Jokić,23,DEN,0.0,212.0,1010,0.210,80,31.3,20.1,10.8,7.3,1.4,0.7,.511,.307,.821,11.8,.226
Stephen Curry,30,GSW,0.0,175.0,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,.472,.437,.916,9.7,.199
Damian Lillard,28,POR,0.0,69.0,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,.444,.369,.912,12.1,.205
Joel Embiid,24,PHI,0.0,49.0,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,.484,.300,.804,8.7,.194
Kevin Durant,30,GSW,0.0,25.0,1010,0.025,78,34.6,26.0,6.4,5.9,0.7,1.1,.521,.353,.885,11.5,.204
Kawhi Leonard,27,TOR,0.0,13.0,1010,0.013,60,34.0,26.6,7.3,3.3,1.8,0.4,.496,.371,.854,9.5,.224
Russell Westbrook,30,OKC,0.0,8.0,1010,0.008,73,36.0,22.9,11.1,10.7,1.9,0.5,.428,.290,.656,6.8,.124
Rudy Gobert,26,UTA,0.0,1.0,1010,0.001,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268
LeBron James,34,LAL,0.0,1.0,1010,0.001,55,35.2,27.4,8.5,8.3,1.3,0.6,.510,.339,.665,7.2,.179
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Luka Dončić,19,DAL,98.0,496.0,500,0.992,72,32.2,21.2,7.8,6.0,1.1,0.3,.427,.327,.713,4.9,.101
Trae Young,20,ATL,2.0,301.0,500,0.602,81,30.9,19.1,3.7,8.1,0.9,0.2,.418,.324,.829,3.3,.062
Deandre Ayton,20,PHO,0.0,66.0,500,0.132,71,30.7,16.3,10.3,1.8,0.9,0.9,.585,.000,.746,5.8,.128
Jaren Jackson,19,MEM,0.0,12.0,500,0.024,58,26.1,13.8,4.7,1.1,0.9,1.4,.506,.359,.766,3.3,.105
Collin Sexton,20,CLE,0.0,10.0,500,0.020,82,31.8,16.7,2.9,3.0,0.5,0.1,.430,.402,.839,-0.6,-0.011
Shai Gilgeous-Alexander,20,LAC,0.0,7.0,500,0.014,82,26.5,10.8,2.8,3.3,1.2,0.5,.476,.367,.800,3.3,.074
Marvin Bagley,19,SAC,0.0,6.0,500,0.012,62,25.3,14.9,7.6,1.0,0.5,1.0,.504,.313,.691,3.6,.110
Josh Okogie,20,MIN,0.0,1.0,500,0.002,74,23.7,7.7,2.9,1.2,1.2,0.4,.386,.279,.728,1.2,.034
Mitchell Robinson,20,NYK,0.0,1.0,500,0.002,66,20.6,7.3,6.4,0.6,0.8,2.4,.694,,.600,6.1,.217
