Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,W/L%
Precious Achiuwa,PF,21,MIA,44,566,96,170,0.565,0,0,0.0,96,170,0.565,0.565,47,94,0.5,55,105,160,23,15,22,36,65,239,14.7,0.565,0.0,0.553,11.2,19.9,15.7,6.5,1.3,4.1,14.6,19.6,0.2,0.9,1.1,0.093,-2.9,-0.6,-3.5,-0.2,2021,0.478
Jaylen Adams,PG,24,MIL,7,18,1,8,0.125,0,2,0.0,1,6,0.167,0.125,0,0,0.0,0,3,3,2,0,0,0,1,2,-6.6,0.125,0.25,0.0,0.0,17.0,8.7,12.8,0.0,0.0,0.0,18.6,-0.1,0.0,-0.1,-0.245,-14.9,-5.0,-19.8,-0.1,2021,0.644
Steven Adams,C,27,NOP,42,1180,145,231,0.628,0,3,0.0,145,228,0.636,0.628,45,95,0.474,165,212,377,82,37,28,63,83,335,15.9,0.614,0.013,0.411,15.8,19.9,17.9,9.1,1.5,2.3,18.8,12.1,2.0,0.9,2.9,0.116,0.0,-0.8,-0.8,0.4,2021,0.444
Bam Adebayo,C,23,MIA,40,1346,290,512,0.566,2,7,0.286,288,505,0.57,0.568,192,229,0.838,92,285,377,213,35,46,111,92,774,22.9,0.632,0.014,0.447,7.9,22.7,15.6,27.3,1.3,3.6,15.3,24.1,3.6,2.1,5.6,0.201,3.1,1.9,5.0,2.4,2021,0.478
LaMarcus Aldridge,C,35,SAS,21,544,115,248,0.464,27,75,0.36,88,173,0.509,0.518,31,37,0.838,17,77,94,36,8,18,20,36,288,15.1,0.545,0.302,0.149,3.2,15.1,9.1,10.3,0.7,2.9,7.0,22.8,0.3,0.6,0.8,0.074,-0.2,-1.0,-1.2,0.1,2021,0.535
Ty-Shon Alexander,SG,22,PHO,4,10,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-13.6,0.0,0.5,0.0,0.0,10.9,5.6,11.4,0.0,0.0,0.0,17.8,-0.1,0.0,-0.1,-0.361,-18.0,-6.3,-24.3,-0.1,2021,0.689
Nickeil Alexander-Walker,SG,22,NOP,37,728,133,319,0.417,56,162,0.346,77,157,0.49,0.505,33,41,0.805,10,97,107,72,36,17,48,68,355,12.9,0.527,0.508,0.129,1.6,14.8,8.2,14.0,2.4,2.3,12.5,22.5,0.0,0.6,0.6,0.04,-1.4,0.1,-1.3,0.1,2021,0.444
Grayson Allen,SG,25,MEM,31,768,101,243,0.416,65,160,0.406,36,83,0.434,0.549,46,51,0.902,12,89,101,66,33,5,30,41,313,13.0,0.59,0.658,0.21,1.6,12.8,7.0,11.5,2.0,0.6,10.2,16.2,0.9,0.9,1.7,0.109,-0.2,0.5,0.3,0.5,2021,0.488
Jarrett Allen,C,22,CLE,44,1262,209,330,0.633,5,12,0.417,204,318,0.642,0.641,152,216,0.704,134,302,436,74,20,74,65,70,575,21.8,0.676,0.036,0.655,11.8,27.0,19.3,8.9,0.8,5.2,13.3,16.8,3.5,1.6,5.1,0.195,2.2,0.1,2.3,1.4,2021,0.37
Al-Farouq Aminu,PF,30,ORL,18,379,36,90,0.4,7,32,0.219,29,58,0.5,0.439,16,19,0.842,20,76,96,29,17,9,27,24,95,9.6,0.483,0.356,0.211,5.3,21.5,13.2,10.9,2.2,2.2,21.5,14.3,-0.4,0.5,0.2,0.021,-4.8,1.1,-3.7,-0.2,2021,0.326
Kyle Anderson,PF,27,MEM,41,1116,190,397,0.479,56,152,0.368,134,245,0.547,0.549,77,101,0.762,31,202,233,139,48,27,55,67,513,16.9,0.581,0.383,0.254,2.9,20.0,11.2,17.5,2.0,2.3,11.1,18.7,1.5,1.6,3.1,0.135,1.2,1.4,2.7,1.3,2021,0.488
Giannis Antetokounmpo,PF,26,MIL,42,1427,432,774,0.558,48,160,0.3,384,614,0.625,0.589,278,412,0.675,76,408,484,268,50,53,154,124,1190,28.7,0.623,0.207,0.532,5.7,29.1,17.8,30.2,1.7,3.3,13.9,32.5,4.7,2.5,7.2,0.242,5.9,2.6,8.5,3.8,2021,0.644
Kostas Antetokounmpo,PF,23,LAL,6,26,2,4,0.5,0,0,0.0,2,4,0.5,0.5,2,4,0.5,2,8,10,0,2,3,6,3,6,6.1,0.521,0.0,1.0,8.8,33.5,21.4,0.0,3.7,10.2,51.0,19.7,-0.1,0.1,-0.1,-0.099,-10.3,3.5,-6.8,0.0,2021,0.638
Thanasis Antetokounmpo,SF,28,MIL,33,316,44,77,0.571,6,17,0.353,38,60,0.633,0.61,10,22,0.455,33,43,76,28,11,7,24,40,104,13.0,0.6,0.221,0.286,11.3,13.9,12.6,11.3,1.6,2.0,21.7,14.7,0.3,0.4,0.7,0.105,-1.7,0.2,-1.5,0.0,2021,0.644
Carmelo Anthony,PF,36,POR,45,1169,222,532,0.417,79,206,0.383,143,326,0.439,0.492,101,117,0.863,25,122,147,77,37,32,46,101,624,14.7,0.535,0.387,0.22,2.2,11.6,6.8,10.1,1.6,2.5,7.3,23.3,1.0,0.4,1.4,0.058,-0.5,-1.6,-2.1,0.0,2021,0.609
Cole Anthony,PG,20,ORL,25,667,101,269,0.375,27,83,0.325,74,186,0.398,0.426,46,55,0.836,20,91,111,94,17,11,51,51,275,10.2,0.469,0.309,0.204,3.0,14.6,8.7,21.7,1.2,1.6,14.8,22.3,-0.7,0.6,-0.1,-0.007,-3.0,-1.1,-4.1,-0.4,2021,0.326
OG Anunoby,SF,23,TOR,28,939,147,304,0.484,64,157,0.408,83,147,0.565,0.589,48,65,0.738,43,123,166,50,48,20,51,79,406,14.4,0.61,0.516,0.214,4.9,15.0,9.7,8.0,2.5,2.2,13.3,17.6,0.8,1.0,1.9,0.096,0.0,0.7,0.7,0.7,2021,0.391
Ryan Arcidiacono,PG,26,CHI,27,298,30,78,0.385,15,47,0.319,15,31,0.484,0.481,12,16,0.75,3,39,42,33,7,0,6,30,87,8.9,0.512,0.603,0.205,1.1,14.2,7.8,14.3,1.1,0.0,6.6,13.1,0.2,0.2,0.5,0.077,-3.3,0.0,-3.3,-0.1,2021,0.432
Trevor Ariza,F,35,MIA,5,113,12,36,0.333,5,20,0.25,7,16,0.438,0.403,6,7,0.857,3,21,24,9,3,5,3,7,35,10.2,0.448,0.556,0.194,3.1,20.0,11.8,11.6,1.3,4.6,7.1,16.7,-0.1,0.2,0.1,0.049,-4.2,1.0,-3.3,0.0,2021,0.478
D.J. Augustin,PG,33,MIL,42,819,88,229,0.384,55,148,0.372,33,81,0.407,0.504,45,49,0.918,14,48,62,131,23,1,43,38,276,10.9,0.551,0.646,0.214,1.8,6.1,4.0,20.3,1.3,0.1,14.6,15.1,0.9,0.6,1.5,0.088,-1.0,-1.1,-2.1,0.0,2021,0.644
Deni Avdija,SF,20,WAS,40,873,94,217,0.433,39,119,0.328,55,98,0.561,0.523,15,24,0.625,16,163,179,48,24,9,28,106,242,7.7,0.532,0.548,0.111,1.9,20.0,10.9,7.3,1.3,0.9,11.0,12.2,0.0,0.7,0.7,0.038,-3.5,-0.5,-4.0,-0.5,2021,0.364
Deandre Ayton,C,22,PHO,45,1375,286,469,0.61,4,17,0.235,282,452,0.624,0.614,89,116,0.767,151,342,493,67,16,50,74,138,665,19.8,0.639,0.036,0.247,12.6,27.0,20.0,7.3,0.6,3.3,12.5,19.2,3.2,2.2,5.4,0.189,0.5,-0.1,0.4,0.8,2021,0.689
Udoka Azubuike,C,21,UTA,12,49,4,7,0.571,0,0,0.0,4,7,0.571,0.571,4,6,0.667,4,9,13,0,1,4,3,8,12,10.5,0.622,0.0,0.857,9.0,18.7,14.0,0.0,1.0,6.4,23.7,11.0,0.0,0.1,0.1,0.105,-5.5,1.2,-4.3,0.0,2021,0.756
Dwayne Bacon,SG,25,ORL,46,1163,175,436,0.401,47,141,0.333,128,295,0.434,0.455,82,97,0.845,13,123,136,56,24,3,32,75,479,9.2,0.5,0.323,0.222,1.1,11.4,6.1,7.4,1.0,0.2,6.3,19.0,-0.2,0.7,0.6,0.024,-3.6,-1.4,-5.0,-0.9,2021,0.326
Marvin Bagley III,PF,21,SAC,37,951,209,416,0.502,34,96,0.354,175,320,0.547,0.543,61,109,0.56,91,184,275,35,18,19,49,90,513,16.3,0.553,0.231,0.262,10.4,21.8,16.0,5.5,0.9,1.7,9.6,23.1,0.8,0.3,1.2,0.059,-0.6,-2.9,-3.5,-0.4,2021,0.457
LaMelo Ball,PG,19,CHO,41,1174,237,526,0.451,81,216,0.375,156,310,0.503,0.528,97,123,0.789,54,186,240,251,65,14,115,116,652,18.6,0.562,0.411,0.234,5.0,17.4,11.1,33.6,2.7,1.2,16.5,25.3,1.5,1.5,2.9,0.12,1.9,0.8,2.7,1.4,2021,0.511
Lonzo Ball,PG,23,NOP,38,1205,196,461,0.425,114,296,0.385,82,165,0.497,0.549,33,43,0.767,22,136,158,211,50,21,76,77,539,15.2,0.562,0.642,0.093,2.1,12.5,7.3,24.1,2.0,1.7,13.7,19.7,1.5,0.7,2.3,0.091,1.4,-0.2,1.2,1.0,2021,0.444
